127.0.0.1 - - [08/Oct/2018:16:16:51 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-soft_35_191921_1x100.png.xhtml?ln=primefaces-midnight HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_flat_100_18181f_40x100.png.xhtml?ln=primefaces-midnight HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_fafafa_256x240.png.xhtml?ln=primefaces-midnight HTTP/1.1" 200 5355
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_15_191921_1x100.png.xhtml?ln=primefaces-midnight HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_15_32323d_1x100.png.xhtml?ln=primefaces-midnight HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_35_191921_1x100.png.xhtml?ln=primefaces-midnight HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:32 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_8fddff_256x240.png.xhtml?ln=primefaces-midnight HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:32 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:32 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 200 18737
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-soft_10_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-hard_30_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_50_4eb305_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_33_3a8104_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_60_4ca20b_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:32 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 200 4369
